127.0.0.1 - - [06/Sep/2023:10:04:41 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [06/Sep/2023:10:28:12 +0900] "GET /Test/main.jsp HTTP/1.1" 200 1473
0:0:0:0:0:0:0:1 - - [06/Sep/2023:10:28:24 +0900] "GET /Test/main.jsp HTTP/1.1" 200 1475
0:0:0:0:0:0:0:1 - - [06/Sep/2023:10:28:40 +0900] "GET /Test/main.jsp HTTP/1.1" 200 1473
0:0:0:0:0:0:0:1 - - [06/Sep/2023:10:28:46 +0900] "GET /Test/main.jsp HTTP/1.1" 200 1474
0:0:0:0:0:0:0:1 - - [06/Sep/2023:10:29:14 +0900] "GET /Test/main.jsp HTTP/1.1" 200 1476
0:0:0:0:0:0:0:1 - - [06/Sep/2023:10:29:33 +0900] "GET /Test/main.jsp HTTP/1.1" 200 1490
0:0:0:0:0:0:0:1 - - [06/Sep/2023:10:43:15 +0900] "GET /Test/joinForm.jsp HTTP/1.1" 200 2120
0:0:0:0:0:0:0:1 - - [06/Sep/2023:10:43:37 +0900] "GET /Test/joinForm.jsp HTTP/1.1" 200 2153
0:0:0:0:0:0:0:1 - - [06/Sep/2023:10:45:53 +0900] "GET /Test/joinForm.jsp HTTP/1.1" 200 2361
0:0:0:0:0:0:0:1 - - [06/Sep/2023:10:51:52 +0900] "GET /Test/joinForm.jsp HTTP/1.1" 200 2397
0:0:0:0:0:0:0:1 - - [06/Sep/2023:10:58:06 +0900] "GET /Test/joinForm.jsp HTTP/1.1" 200 2470
0:0:0:0:0:0:0:1 - - [06/Sep/2023:11:03:43 +0900] "GET /Test/joinProcess.jsp?artist_id=dagds&artist_name=&artist_gender=%EC%84%B1%EB%B3%84&talent=%ED%8A%B9%EA%B8%B0&artist_id= HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [06/Sep/2023:11:03:45 +0900] "GET /Test/joinForm.jsp HTTP/1.1" 200 3148
0:0:0:0:0:0:0:1 - - [06/Sep/2023:11:04:00 +0900] "GET /Test/joinProcess.jsp?artist_id=ytj&artist_name=dtyj&artist_gender=M&talent=1&agency=hi%3Bo HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [06/Sep/2023:11:04:40 +0900] "GET /Test/joinForm.jsp HTTP/1.1" 200 3167
0:0:0:0:0:0:0:1 - - [06/Sep/2023:11:04:58 +0900] "GET /Test/joinForm.jsp HTTP/1.1" 200 3153
0:0:0:0:0:0:0:1 - - [06/Sep/2023:11:05:05 +0900] "GET /Test/joinForm.jsp HTTP/1.1" 200 3153
0:0:0:0:0:0:0:1 - - [06/Sep/2023:11:08:16 +0900] "GET /Test/result.jsp HTTP/1.1" 200 1275
0:0:0:0:0:0:0:1 - - [06/Sep/2023:11:08:33 +0900] "GET /Test/result.jsp HTTP/1.1" 200 1281
0:0:0:0:0:0:0:1 - - [06/Sep/2023:11:21:43 +0900] "GET /Test/joinForm.jsp HTTP/1.1" 200 3153
0:0:0:0:0:0:0:1 - - [06/Sep/2023:11:28:04 +0900] "GET /Test/result.jsp HTTP/1.1" 200 305
0:0:0:0:0:0:0:1 - - [06/Sep/2023:11:31:02 +0900] "GET /Test/result.jsp HTTP/1.1" 200 305
0:0:0:0:0:0:0:1 - - [06/Sep/2023:11:31:32 +0900] "GET /Test/result.jsp HTTP/1.1" 200 1255
0:0:0:0:0:0:0:1 - - [06/Sep/2023:11:52:26 +0900] "GET /Test/joinForm.jsp HTTP/1.1" 200 3153
0:0:0:0:0:0:0:1 - - [06/Sep/2023:11:53:10 +0900] "GET /Test/joinForm.jsp HTTP/1.1" 200 3153
0:0:0:0:0:0:0:1 - - [06/Sep/2023:11:53:29 +0900] "GET /Test/joinProcess.jsp?artist_id=A013&artist_name=%EA%B0%80%EA%B0%80%EC%88%98&artist_gender=M&talent=1&agency=D%EC%97%94%ED%84%B0%ED%85%8C%EC%9D%B8%EB%A8%BC%ED%8A%B8 HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [06/Sep/2023:12:00:08 +0900] "GET /Test/joinForm.jsp HTTP/1.1" 200 3159
0:0:0:0:0:0:0:1 - - [06/Sep/2023:12:00:09 +0900] "GET /Test/joinForm.jsp HTTP/1.1" 200 3159
0:0:0:0:0:0:0:1 - - [06/Sep/2023:12:02:11 +0900] "GET /Test/joinForm.jsp HTTP/1.1" 200 3162
0:0:0:0:0:0:0:1 - - [06/Sep/2023:12:02:25 +0900] "GET /Test/joinProcess.jsp?artist_id=A013&artist_name=%EA%B0%80%EA%B0%80%EC%88%98&artist_gender=M&talent=01&agency=D%EC%97%94%ED%84%B0%ED%85%8C%EC%9D%B8%EB%A8%BC%ED%8A%B8 HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [06/Sep/2023:12:03:04 +0900] "GET /Test/joinForm.jsp HTTP/1.1" 200 3162
0:0:0:0:0:0:0:1 - - [06/Sep/2023:12:03:05 +0900] "GET /Test/joinForm.jsp HTTP/1.1" 200 3162
0:0:0:0:0:0:0:1 - - [06/Sep/2023:12:03:20 +0900] "GET /Test/joinProcess.jsp?artist_id=A13&artist_name=%EA%B0%80%EA%B0%80%EC%88%98&artist_gender=M&talent=01&agency=D%EC%97%94%ED%84%B0%ED%85%8C%EC%9D%B8%EB%A8%BC%ED%8A%B8 HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [06/Sep/2023:12:04:06 +0900] "GET /Test/joinForm.jsp HTTP/1.1" 200 3162
0:0:0:0:0:0:0:1 - - [06/Sep/2023:12:04:06 +0900] "GET /Test/joinForm.jsp HTTP/1.1" 200 3162
0:0:0:0:0:0:0:1 - - [06/Sep/2023:12:04:22 +0900] "GET /Test/joinProcess.jsp?artist_id=A013&artist_name=%EA%B0%80%EA%B0%80%EC%88%98&artist_gender=M&talent=01&agency=D%EC%97%94%ED%84%B0%ED%85%8C%EC%9D%B8%EB%A8%BC%ED%8A%B8 HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [06/Sep/2023:12:06:32 +0900] "GET /Test/result.jsp HTTP/1.1" 200 1255
0:0:0:0:0:0:0:1 - - [06/Sep/2023:12:06:45 +0900] "GET /Test/result.jsp HTTP/1.1" 200 1255
0:0:0:0:0:0:0:1 - - [06/Sep/2023:12:07:25 +0900] "GET /Test/joinForm.jsp HTTP/1.1" 200 3162
0:0:0:0:0:0:0:1 - - [06/Sep/2023:12:07:25 +0900] "GET /Test/result.jsp HTTP/1.1" 200 1255
0:0:0:0:0:0:0:1 - - [06/Sep/2023:12:07:55 +0900] "GET /Test/result.jsp HTTP/1.1" 200 1255
0:0:0:0:0:0:0:1 - - [06/Sep/2023:12:07:56 +0900] "GET /Test/result.jsp HTTP/1.1" 200 1255
0:0:0:0:0:0:0:1 - - [06/Sep/2023:12:07:56 +0900] "GET /Test/result.jsp HTTP/1.1" 200 1255
0:0:0:0:0:0:0:1 - - [06/Sep/2023:12:08:15 +0900] "GET /Test/result.jsp HTTP/1.1" 200 305
0:0:0:0:0:0:0:1 - - [06/Sep/2023:12:08:56 +0900] "GET /Test/result.jsp HTTP/1.1" 200 305
0:0:0:0:0:0:0:1 - - [06/Sep/2023:12:09:14 +0900] "GET /Test/result.jsp HTTP/1.1" 200 1294
0:0:0:0:0:0:0:1 - - [06/Sep/2023:12:09:51 +0900] "GET /Test/result.jsp HTTP/1.1" 500 2512
0:0:0:0:0:0:0:1 - - [06/Sep/2023:12:10:04 +0900] "GET /Test/result.jsp HTTP/1.1" 200 305
0:0:0:0:0:0:0:1 - - [06/Sep/2023:12:10:20 +0900] "GET /Test/result.jsp HTTP/1.1" 200 1297
0:0:0:0:0:0:0:1 - - [06/Sep/2023:12:10:36 +0900] "GET /Test/result.jsp HTTP/1.1" 200 305
0:0:0:0:0:0:0:1 - - [06/Sep/2023:12:10:47 +0900] "GET /Test/result.jsp HTTP/1.1" 200 305
0:0:0:0:0:0:0:1 - - [06/Sep/2023:12:11:17 +0900] "GET /Test/result.jsp HTTP/1.1" 200 305
0:0:0:0:0:0:0:1 - - [06/Sep/2023:12:12:12 +0900] "GET /Test/result.jsp HTTP/1.1" 200 305
0:0:0:0:0:0:0:1 - - [06/Sep/2023:12:12:36 +0900] "GET /Test/result.jsp HTTP/1.1" 200 305
0:0:0:0:0:0:0:1 - - [06/Sep/2023:12:12:40 +0900] "GET /Test/result.jsp HTTP/1.1" 200 12229
0:0:0:0:0:0:0:1 - - [06/Sep/2023:12:13:02 +0900] "GET /Test/result.jsp HTTP/1.1" 200 1759
0:0:0:0:0:0:0:1 - - [06/Sep/2023:12:13:30 +0900] "GET /Test/result.jsp HTTP/1.1" 200 2935
0:0:0:0:0:0:0:1 - - [06/Sep/2023:12:13:41 +0900] "GET /Test/result.jsp HTTP/1.1" 200 3259
0:0:0:0:0:0:0:1 - - [06/Sep/2023:12:13:48 +0900] "GET /Test/result.jsp HTTP/1.1" 200 3235
0:0:0:0:0:0:0:1 - - [06/Sep/2023:12:14:08 +0900] "GET /Test/result.jsp HTTP/1.1" 200 3255
0:0:0:0:0:0:0:1 - - [06/Sep/2023:12:14:10 +0900] "GET /Test/joinForm.jsp HTTP/1.1" 200 3162
0:0:0:0:0:0:0:1 - - [06/Sep/2023:12:14:27 +0900] "GET /Test/joinProcess.jsp?artist_id=A013&artist_name=%EA%B0%80%EC%88%98%EC%88%98&artist_gender=M&talent=01&agency=D%EC%97%94%ED%84%B0%ED%85%8C%EC%9D%B4%EB%84%88 HTTP/1.1" 200 117
0:0:0:0:0:0:0:1 - - [06/Sep/2023:12:14:56 +0900] "GET /Test/joinProcess.jsp?artist_id=A013&artist_name=%EA%B0%80%EC%88%98%EC%88%98&artist_gender=M&talent=01&agency=D%EC%97%94%ED%84%B0%ED%85%8C%EC%9D%B4%EB%84%88 HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [06/Sep/2023:12:16:02 +0900] "GET /Test/joinProcess.jsp?artist_id=A014&artist_name=%EA%B0%80%EC%88%98%EC%88%98&artist_gender=M&talent=01&agency=D%EC%97%94%ED%84%B0%ED%85%8C%EC%9D%B4%EB%84%88 HTTP/1.1" 200 117
0:0:0:0:0:0:0:1 - - [06/Sep/2023:12:17:46 +0900] "GET /Test/joinProcess.jsp?artist_id=A015&artist_name=%EA%B0%80%EC%88%98%EC%88%98%EC%88%98&artist_gender=F&talent=02&agency=A%EC%97%94%ED%84%B0%ED%85%8C%EC%9D%B4%EB%84%88 HTTP/1.1" 200 122
0:0:0:0:0:0:0:1 - - [06/Sep/2023:12:41:14 +0900] "GET /Test/main.jsp HTTP/1.1" 200 1490
0:0:0:0:0:0:0:1 - - [06/Sep/2023:12:41:15 +0900] "GET /Test/joinForm.jsp HTTP/1.1" 200 3162
0:0:0:0:0:0:0:1 - - [06/Sep/2023:12:41:16 +0900] "GET /Test/result.jsp HTTP/1.1" 200 3744
0:0:0:0:0:0:0:1 - - [06/Sep/2023:12:41:19 +0900] "GET /Test/joinForm.jsp HTTP/1.1" 200 3162
0:0:0:0:0:0:0:1 - - [06/Sep/2023:12:53:55 +0900] "GET /Test/result.jsp HTTP/1.1" 200 3744
0:0:0:0:0:0:0:1 - - [06/Sep/2023:12:53:56 +0900] "GET /Test/joinForm.jsp HTTP/1.1" 200 3162
0:0:0:0:0:0:0:1 - - [06/Sep/2023:12:53:57 +0900] "GET /Test/result.jsp HTTP/1.1" 200 3744
0:0:0:0:0:0:0:1 - - [06/Sep/2023:12:54:09 +0900] "GET /Test/joinForm.jsp HTTP/1.1" 200 3162
0:0:0:0:0:0:0:1 - - [06/Sep/2023:12:54:15 +0900] "GET /Test/result.jsp HTTP/1.1" 200 3744
0:0:0:0:0:0:0:1 - - [06/Sep/2023:12:54:15 +0900] "GET /Test/joinForm.jsp HTTP/1.1" 200 3162
0:0:0:0:0:0:0:1 - - [06/Sep/2023:12:54:32 +0900] "GET /Test/joinProcess.jsp?artist_id=A016&artist_name=%EA%B0%80%EC%88%98%EC%88%98%EC%88%98%E3%85%9C&artist_gender=M&talent=03&agency=D%EC%97%94%ED%84%B0%ED%85%8C%EC%9D%B8%EB%A8%BC%ED%8A%B8 HTTP/1.1" 200 129
0:0:0:0:0:0:0:1 - - [06/Sep/2023:12:54:35 +0900] "GET /Test/result.jsp HTTP/1.1" 200 3915
0:0:0:0:0:0:0:1 - - [06/Sep/2023:12:54:37 +0900] "GET /Test/joinForm.jsp HTTP/1.1" 200 3162
0:0:0:0:0:0:0:1 - - [06/Sep/2023:12:54:39 +0900] "GET /Test/result.jsp HTTP/1.1" 200 3915
0:0:0:0:0:0:0:1 - - [06/Sep/2023:12:54:41 +0900] "GET /Test/joinForm.jsp HTTP/1.1" 200 3162
0:0:0:0:0:0:0:1 - - [06/Sep/2023:12:58:32 +0900] "GET /Test/result.jsp HTTP/1.1" 200 3915
0:0:0:0:0:0:0:1 - - [06/Sep/2023:12:58:33 +0900] "GET /Test/joinForm.jsp HTTP/1.1" 200 3162
0:0:0:0:0:0:0:1 - - [06/Sep/2023:12:58:34 +0900] "GET /Test/result.jsp HTTP/1.1" 200 3915
0:0:0:0:0:0:0:1 - - [06/Sep/2023:12:58:34 +0900] "GET /Test/main.jsp HTTP/1.1" 200 1490
0:0:0:0:0:0:0:1 - - [06/Sep/2023:12:58:35 +0900] "GET /Test/joinForm.jsp HTTP/1.1" 200 3162
0:0:0:0:0:0:0:1 - - [06/Sep/2023:12:58:35 +0900] "GET /Test/result.jsp HTTP/1.1" 200 3915
0:0:0:0:0:0:0:1 - - [06/Sep/2023:12:58:36 +0900] "GET /Test/joinForm.jsp HTTP/1.1" 200 3162
0:0:0:0:0:0:0:1 - - [06/Sep/2023:12:58:36 +0900] "GET /Test/result.jsp HTTP/1.1" 200 3915
0:0:0:0:0:0:0:1 - - [06/Sep/2023:12:58:37 +0900] "GET /Test/main.jsp HTTP/1.1" 200 1490
0:0:0:0:0:0:0:1 - - [06/Sep/2023:12:58:37 +0900] "GET /Test/joinForm.jsp HTTP/1.1" 200 3162
0:0:0:0:0:0:0:1 - - [06/Sep/2023:12:58:37 +0900] "GET /Test/result.jsp HTTP/1.1" 200 3915
0:0:0:0:0:0:0:1 - - [06/Sep/2023:12:58:38 +0900] "GET /Test/joinForm.jsp HTTP/1.1" 200 3162
0:0:0:0:0:0:0:1 - - [06/Sep/2023:12:58:39 +0900] "GET /Test/result.jsp HTTP/1.1" 200 3915
0:0:0:0:0:0:0:1 - - [06/Sep/2023:12:58:41 +0900] "GET /Test/joinForm.jsp HTTP/1.1" 200 3162
0:0:0:0:0:0:0:1 - - [06/Sep/2023:12:58:42 +0900] "GET /Test/result.jsp HTTP/1.1" 200 3915
0:0:0:0:0:0:0:1 - - [06/Sep/2023:12:58:44 +0900] "GET /Test/main.jsp HTTP/1.1" 200 1490
0:0:0:0:0:0:0:1 - - [06/Sep/2023:12:59:19 +0900] "GET /Test/main.jsp HTTP/1.1" 200 1484
0:0:0:0:0:0:0:1 - - [06/Sep/2023:12:59:31 +0900] "GET /Test/joinForm.jsp HTTP/1.1" 200 3162
0:0:0:0:0:0:0:1 - - [06/Sep/2023:12:59:32 +0900] "GET /Test/result.jsp HTTP/1.1" 200 3915
0:0:0:0:0:0:0:1 - - [06/Sep/2023:12:59:49 +0900] "GET /Test/result.jsp HTTP/1.1" 200 3915
0:0:0:0:0:0:0:1 - - [06/Sep/2023:12:59:49 +0900] "GET /Test/joinForm.jsp HTTP/1.1" 200 3162
0:0:0:0:0:0:0:1 - - [06/Sep/2023:12:59:50 +0900] "GET /Test/main.jsp HTTP/1.1" 200 1484
0:0:0:0:0:0:0:1 - - [06/Sep/2023:12:59:50 +0900] "GET /Test/result.jsp HTTP/1.1" 200 3915
0:0:0:0:0:0:0:1 - - [06/Sep/2023:12:59:51 +0900] "GET /Test/joinForm.jsp HTTP/1.1" 200 3162
0:0:0:0:0:0:0:1 - - [06/Sep/2023:13:00:02 +0900] "GET /Test/result.jsp HTTP/1.1" 200 3915
0:0:0:0:0:0:0:1 - - [06/Sep/2023:13:00:03 +0900] "GET /Test/joinForm.jsp HTTP/1.1" 200 3162
0:0:0:0:0:0:0:1 - - [06/Sep/2023:13:00:03 +0900] "GET /Test/main.jsp HTTP/1.1" 200 1484
0:0:0:0:0:0:0:1 - - [06/Sep/2023:13:02:29 +0900] "GET /Test/result.jsp HTTP/1.1" 200 305
0:0:0:0:0:0:0:1 - - [06/Sep/2023:13:03:23 +0900] "GET /Test/result.jsp HTTP/1.1" 200 305
0:0:0:0:0:0:0:1 - - [06/Sep/2023:13:03:25 +0900] "GET /Test/result.jsp HTTP/1.1" 200 305
0:0:0:0:0:0:0:1 - - [06/Sep/2023:13:04:12 +0900] "GET /Test/result.jsp HTTP/1.1" 200 305
0:0:0:0:0:0:0:1 - - [06/Sep/2023:13:04:43 +0900] "GET /Test/result.jsp HTTP/1.1" 200 305
0:0:0:0:0:0:0:1 - - [06/Sep/2023:13:04:47 +0900] "GET /Test/result.jsp HTTP/1.1" 200 305
0:0:0:0:0:0:0:1 - - [06/Sep/2023:13:04:54 +0900] "GET /Test/result.jsp HTTP/1.1" 200 305
0:0:0:0:0:0:0:1 - - [06/Sep/2023:13:05:00 +0900] "GET /Test/result.jsp HTTP/1.1" 200 305
0:0:0:0:0:0:0:1 - - [06/Sep/2023:13:05:09 +0900] "GET /Test/result.jsp HTTP/1.1" 200 3915
0:0:0:0:0:0:0:1 - - [06/Sep/2023:13:05:31 +0900] "GET /Test/result.jsp HTTP/1.1" 200 305
0:0:0:0:0:0:0:1 - - [06/Sep/2023:13:07:41 +0900] "GET /Test/result.jsp HTTP/1.1" 200 305
0:0:0:0:0:0:0:1 - - [06/Sep/2023:13:08:04 +0900] "GET /Test/joinForm.jsp HTTP/1.1" 200 3162
0:0:0:0:0:0:0:1 - - [06/Sep/2023:13:43:08 +0900] "GET /Test/result.jsp HTTP/1.1" 200 305
0:0:0:0:0:0:0:1 - - [06/Sep/2023:13:43:20 +0900] "GET /Test/result.jsp HTTP/1.1" 200 3915
0:0:0:0:0:0:0:1 - - [06/Sep/2023:13:46:20 +0900] "GET /Test/joinForm.jsp HTTP/1.1" 200 3162
0:0:0:0:0:0:0:1 - - [06/Sep/2023:13:46:26 +0900] "GET /Test/result.jsp HTTP/1.1" 200 3915
0:0:0:0:0:0:0:1 - - [06/Sep/2023:13:46:29 +0900] "GET /Test/main.jsp HTTP/1.1" 200 1484
0:0:0:0:0:0:0:1 - - [06/Sep/2023:13:46:37 +0900] "GET /Test/result.jsp HTTP/1.1" 200 3915
0:0:0:0:0:0:0:1 - - [06/Sep/2023:13:46:41 +0900] "GET /Test/joinForm.jsp HTTP/1.1" 200 3162
0:0:0:0:0:0:0:1 - - [06/Sep/2023:13:46:41 +0900] "GET /Test/result.jsp HTTP/1.1" 200 3915
0:0:0:0:0:0:0:1 - - [06/Sep/2023:13:46:44 +0900] "GET /Test/joinForm.jsp HTTP/1.1" 200 3162
0:0:0:0:0:0:0:1 - - [06/Sep/2023:13:46:44 +0900] "GET /Test/main.jsp HTTP/1.1" 200 1484
0:0:0:0:0:0:0:1 - - [06/Sep/2023:13:46:48 +0900] "GET /Test/joinForm.jsp HTTP/1.1" 200 3162
0:0:0:0:0:0:0:1 - - [06/Sep/2023:13:52:35 +0900] "GET /Test/result.jsp HTTP/1.1" 200 3915
0:0:0:0:0:0:0:1 - - [06/Sep/2023:13:52:36 +0900] "GET /Test/joinForm.jsp HTTP/1.1" 200 3162
0:0:0:0:0:0:0:1 - - [06/Sep/2023:13:52:37 +0900] "GET /Test/result.jsp HTTP/1.1" 200 3915
0:0:0:0:0:0:0:1 - - [06/Sep/2023:13:52:40 +0900] "GET /Test/joinForm.jsp HTTP/1.1" 200 3162
0:0:0:0:0:0:0:1 - - [06/Sep/2023:13:52:42 +0900] "GET /Test/main.jsp HTTP/1.1" 200 1484
0:0:0:0:0:0:0:1 - - [06/Sep/2023:13:53:12 +0900] "GET /Test/result.jsp HTTP/1.1" 200 3915
0:0:0:0:0:0:0:1 - - [06/Sep/2023:13:53:12 +0900] "GET /Test/joinForm.jsp HTTP/1.1" 200 3162
0:0:0:0:0:0:0:1 - - [06/Sep/2023:13:53:13 +0900] "GET /Test/result.jsp HTTP/1.1" 200 3915
0:0:0:0:0:0:0:1 - - [06/Sep/2023:13:53:13 +0900] "GET /Test/joinForm.jsp HTTP/1.1" 200 3162
0:0:0:0:0:0:0:1 - - [06/Sep/2023:13:55:16 +0900] "GET /Test/result.jsp HTTP/1.1" 200 3915
0:0:0:0:0:0:0:1 - - [06/Sep/2023:13:55:20 +0900] "GET /Test/joinForm.jsp HTTP/1.1" 200 3162
0:0:0:0:0:0:0:1 - - [06/Sep/2023:13:56:55 +0900] "GET /Test/result.jsp HTTP/1.1" 200 3915
0:0:0:0:0:0:0:1 - - [06/Sep/2023:13:57:04 +0900] "GET /Test/joinForm.jsp HTTP/1.1" 200 3162
0:0:0:0:0:0:0:1 - - [06/Sep/2023:13:57:23 +0900] "GET /Test/result.jsp HTTP/1.1" 200 3915
0:0:0:0:0:0:0:1 - - [06/Sep/2023:13:57:23 +0900] "GET /Test/joinForm.jsp HTTP/1.1" 200 3162
0:0:0:0:0:0:0:1 - - [06/Sep/2023:13:57:49 +0900] "GET /Test/joinProcess.jsp?artist_id=A017&artist_name=%EA%B9%80%EA%B0%80%EA%B0%80&artist_gender=F&talent=02&agency=A%EC%97%94%ED%84%B0%ED%85%8C%EC%9D%B8%EB%A8%BC%ED%8A%B8 HTTP/1.1" 200 129
0:0:0:0:0:0:0:1 - - [06/Sep/2023:13:59:11 +0900] "GET /Test/joinProcess.jsp?artist_id=A018&artist_name=%EA%B9%80%EA%B0%80%EA%B0%80&artist_gender=F&talent=02&agency=A%EC%97%94%ED%84%B0%ED%85%8C%EC%9D%B8%EB%A8%BC%ED%8A%B8 HTTP/1.1" 200 129
0:0:0:0:0:0:0:1 - - [06/Sep/2023:13:59:44 +0900] "GET /Test/main.jsp HTTP/1.1" 200 1484
0:0:0:0:0:0:0:1 - - [06/Sep/2023:13:59:45 +0900] "GET /Test/joinForm.jsp HTTP/1.1" 200 3162
0:0:0:0:0:0:0:1 - - [06/Sep/2023:14:00:03 +0900] "GET /Test/joinProcess.jsp?artist_id=A019&artist_name=%EA%B9%80%EA%B0%80%EA%B0%80&artist_gender=M&talent=02&agency=B%EC%97%94%ED%84%B0%ED%85%8C%EC%9D%B8%EB%A8%BC%ED%8A%B8 HTTP/1.1" 200 129
